Words,Definitions,Examples
cytoskeleton,a microscopic network of actin filaments and microtubules in the cytoplasm of many living cells that gives the cell shape and coherence,
deciduous plant,a plant having foliage that is shed annually at the end of the growing season,
diffusion,the act of dispersing something,
digestion,the process by which the body breaks down food,
dihybrid cross,hybridization using two traits with two alleles each,
dominant allele,an allele that produces the same phenotype whether its paired allele is identical or different,
ecology,the environment as it relates to living organisms,
ecosystem,organisms interacting with their physical environment,
ectoplasm,"the thin, watery outer layer of a cell",
ectothermic,of animals except birds and mammals,
element,a substance that cannot be separated into simpler substances,
endoplasm,the inner portion of the gelatinous liquid inside a cell,
endoskeleton,the internal skeleton; bony and cartilaginous structure,
endospore,a small asexual spore that develops inside the cell of some bacteria and algae,
endothermic,occurring or formed with absorption of heat,
epidermis,the outer layer of skin covering the body surface,
epithelium,membranous tissue covering internal organs and other internal surfaces of the body,
excretion,the bodily process of discharging waste matter,
exoskeleton,the exterior protective or supporting structure or shell of many animals (especially invertebrates) including bony or horny parts such as nails or scales or hoofs,
eyespot,an eyelike marking,
fermentation,"breaking down an organic substance, as sugar into alcohol",
flagellate,whip or scourge; punish as if by whipping,
foot,the pedal extremity of vertebrates other than human beings,
fruit,the ripened reproductive body of a seed plant,
gemmule,the physically discrete element that Darwin proposed as responsible for heredity,
gene,part of DNA controlling physical characteristics and growth,
genetics,the study of heredity and variation in organisms,
genotype,the particular alleles present in an organism,
gestation,the period during which an embryo develops,
gonad,a gland in which gametes (sex cells) are produced,
greenhouse effect,warming when solar radiation is trapped by the atmosphere,
haustorium,a root-like attachment in parasitic plants that penetrates and obtains food from the host,
hermaphroditic,of animal or plant,
hibernation,the resting state in which some animals pass the winter,
holdfast,restraint that attaches to something or holds something in place,
homeostasis,metabolic equilibrium maintained by biological mechanisms,
hydrogen bond,"a chemical bond consisting of a hydrogen atom between two electronegative atoms (e.g., oxygen or nitrogen) with one side be a covalent bond and the other being an ionic bond",
hydrolysis,a chemical reaction in which water reacts with a compound to produce other compounds; involves the splitting of a bond and the addition of the hydrogen cation and the hydroxide anion from the water,
hydrophobic,lacking affinity for water,
hypha,any of the threadlike filaments forming the mycelium of a fungus,
hypothesis,a tentative insight that is not yet verified or tested,
inheritance,hereditary succession to a title or an office or property,
isotonic solution,a solution having the same osmotic pressure as blood,
karyotype,the appearance of the chromosomal makeup of a somatic cell in an individual or species (including the number and arrangement and size and structure of the chromosomes),
loam,"a rich soil consisting of sand, clay and organic materials",
lysosome,a membrane-bound organelle containing digestive enzymes,
macroevolution,evolution on a large scale extending over geologic era and resulting in the formation of new taxonomic groups,
mantle,a sleeveless garment like a cloak but shorter,
matter,that which has mass and occupies space,
medulla oblongata,lower or hindmost part of the brain,
medusa,one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles,
meiosis,cell division that produces reproductive cells,
membrane,a sheet of tissue that lines or connects organs or cells,
mesenchyme,mesodermal tissue that forms connective tissue and blood and smooth muscles,
messenger RNA,the template for protein synthesis,
metabolism,the organic processes that are necessary for life,
microevolution,evolution resulting from small specific genetic changes that can lead to a new subspecies,
mitosis,the process by which a cell divides into two smaller cells,
model,"a representation of something, often on a smaller scale",
molt,"cast off hair, skin, horn, or feathers",
monohybrid cross,hybridization using a single trait with two alleles,
mother cell,cell from which another cell of an organism develops,
mutation,a change or alteration in form or qualities,
mutualism,the relation between two organisms that benefit each other,
mycelium,the vegetative part of a fungus consisting of a mass of branching threadlike hyphae,
nervous system,the sensory and control apparatus consisting of a network of nerve cells,
neurotoxin,any toxin that affects neural tissues,
notochord,a flexible rodlike structure that forms the supporting axis of the body in the lowest chordates and lowest vertebrates and in embryos of higher vertebrates,
nucleus,a part of the cell responsible for growth and reproduction,
osmosis,diffusion of molecules through a semipermeable membrane,
paleontology,the earth science that studies fossil organisms,
parasite,an animal or plant that lives in or on a host,
parasitism,when one organism benefits from another by causing damage,
passive transport,transport of a substance across a cell membrane by diffusion,
pathogen,any disease-producing agent,
pedigree,the ancestry or lineage of an individual,
pellicle,thin protective membrane in some protozoa,
peptide bond,the primary linkage of all protein structures,
phagocytosis,process in which phagocytes engulf and digest microorganisms and cellular debris; an important defense against infection,
phase,any distinct time period in a sequence of events,
phenotype,observable characteristics produced by genes and environment,
phloem,plant tissue that conducts synthesized food substances,
phospholipid,any of various compounds composed of fatty acids and phosphoric acid and a nitrogenous base; an important constituent of membranes,
photosynthesis,formation of compounds in plants aided by radiant energy,
phototropism,an organism's orienting response to light,
physical change,a change from one state (solid or liquid or gas) to another without a change in chemical composition,
physiology,the science dealing with the functioning of organisms,
phytoplankton,photosynthetic or plant constituent of plankton,
placenta,the vascular structure in the uterus of most mammals providing oxygen and nutrients for and transferring wastes from the developing fetus,
plankton,aggregate of small organisms that float or drift in water,
plasma membrane,a thin membrane enclosing the cytoplasm of a cell,
plasmid,a small cellular inclusion consisting of a ring of DNA that is not in a chromosome but is capable of autonomous replication,
pollen,fine spores produced by flowers to fertilize other flowers,
pollination,transfer of the fine spores that contain male gametes,
polyp,a small vascular growth on the surface of a mucous membrane,
population,the people who inhabit a territory or state,
pseudopod,temporary outgrowth of a cell used for locomotion or feeding,
radial symmetry,the property of symmetry about an axis,
recessive allele,an allele that produces its characteristic phenotype only when its paired allele is identical,
regeneration,the act of forming again; renewing and reconstituting,
reproduction,the act of making copies,
respiration,a single complete act of breathing in and out,
saprophyte,an organism that feeds on dead organic matter especially a fungus or bacterium,
secretion,the organic process of releasing some substance,
seed,"small, hard part of a plant from which a new plant can grow",
semipermeable membrane,a membrane (as a cell membrane) that allows some molecules to pass through but not others,
sexual reproduction,reproduction involving the union or fusion of a male and a female gamete,
shell,the outer covering of an animal,
simple eye,an eye having a single lens,
species,taxonomic group whose members can interbreed,
spore,a small usually single-celled asexual reproductive body produced by many nonflowering plants and fungi and some bacteria and protozoans and that are capable of developing into a new individual without sexual fusion,
sporophore,a spore-bearing branch or organ: the part of the thallus of a sporophyte that develops spores; in ferns and mosses and liverworts is practically equivalent to the sporophyte,
stolon,a horizontal branch from the base of plant that produces new plants from buds at its tips,
symbiosis,the relation between two interdependent species of organisms,
taxonomy,a classification of organisms based on similarities,
thallus,a plant body without true stems or roots or leaves or vascular system; characteristic of the thallophytes,
theory,a belief that can guide behavior,
thorax,the body of an arthropod between the head and the abdomen,
transduction,the process whereby a transducer accepts energy in one form and gives back related energy in a different form,
transformation,the act of changing in form or shape or appearance,
translocation,the transport of dissolved material within a plant,
transpiration,the emission of water vapor from the leaves of plants,
univalve,"used of mollusks, especially gastropods, as snails etc.",
vaccine,injection of weakened or dead microbes to create antibodies,
vacuole,a tiny cavity filled with fluid in the cytoplasm of a cell,
ventricle,a chamber of the heart that receives blood from an atrium,
virus,infectious agent that replicates itself within living hosts,
watershed,a ridge of land that separates two adjacent river systems,
xylem,plant tissue that conducts water and dissolved nutrients,
zooplankton,animal constituent of plankton,
zygospore,a plant spore formed by two similar sexual cells,
zygote,the cell from the union of a haploid spermatozoon and ovum,
