Country,Institution,Agreement Type,Open to,Public/Private,Student Number,Study Term,GPA Requirement,English Requirement,"Application Deadline
for Fall Semester",Application Process,Application Documents,Application Fee,Tuition/Semester,Courses,Academic Calendar,Insurance,Accommodation,Additional Info,Info Link
,Washington University in St. Louis,Study abroad,UG,Private,Up to 10,One academic year,"UG students who have completed at least one year of UG study;
GPA ≥3.0","TOEFL 90
IELTS 7.5",Nov. 1 to Mar. 15,"Nomination followed by online application

https://sa.wustl.edu/index.cfm?FuseAction=Security.AngLogin","Transcript
Recommendation letter
Documentation of English proficiency
Financial documents",,"29,750 USD","Science and engineering majors
minimum 12 units per semester
maximum of 21 credits (up to 7 courses)
average 15 credits

https://acadinfo.wustl.edu/CourseListings/Semester/Listing.aspx","Fall semester: end of Aug.-late Dec.
Spring semester: mid Jan.-mid May

https://registrar.wustl.edu/student-records/registration/semester-academic-dates-deadlines/","Medical insurance and
public liability insurance

https://students.wustl.edu/student-health-insurance-plan-information/","On-campus housing not guaranteed;
Will facilitate housing arrangements

Housing and other expenses estimated at 15,758 USD/Semester

https://students.wustl.edu/residential-life/","Official TOEFL score documents must come directly from ETS-TOEFL. WU's code is 6929, Dept. Code: 00","https://overseas.wustl.edu/exchange-students
https://overseas.wustl.edu/admission
https://sa.wustl.edu/index.cfm?FuseAction=Programs.ViewProgram&Program_ID=10512
"
,"University of Pittsburgh
","Exchange/ 
Study abroad",UG,Public,"To be agreed upon by the Parties for each academic year, and aim for a balance in the number of students exchanged each year",One semester or full academic year,"Good academic standing;
GPA ≥3.0","TOEFL 80
IELTS 6.5","No later than 150 days before the date the exchange term begins at the host institution

Nomination deadline: March 1
Application deadline: March 26",Nomination followed by online application (Pitt will send instructions for the application via email),"Passport bio page
Proof of English proficiency
Transcript
Course list during online application -list at least 10 courses with course number and title
",,"Art & Sciences 12,767 USD
Engineering 15,100 USD","Swanson School of Engineering
Kenneth P. Dietrich School of Arts & Sciences

http://internationalexchanges.pitt.edu/schools
http:// internationalexchanges.pitt.edu/courses 

At least 12 credit hours-typically 4 courses (each at 3 credit hours)
","Fall semester: Mid Aug.-mid Dec.

https://www.registrar.pitt.edu/calendars","Health, accident, emergency medical evacuation and repatriation of remains insurance

https://www.internationalexchanges.pitt.edu/health","Assistance and support in locating appropriate housing

http://internationalexchanges.pitt.edu/housing

Living expenses estimated at 10,740/semester","In the event that the home institution wishes to send more students, the home institution can nominate students as fee-paying students to the host institution",https://www.internationalexchanges.pitt.edu/apply
"UK








",The University of Warwick,Study abroad,UG,,Up to 10,One academic year,"
UG students who have completed at least one year of study at Westlake;

GPA ≥3.0

","TOEFL: 92 overall with a minimum of 22 in Reading, 21 in Listening, 23 in Speaking and 21 in Writing 
                                                                IELTS: 6.5 overall with minimum of 6.0 in each component","Nomination: Feb. 1 to 28
Applications: April 1 to 30","Online application

https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/applicationprocess/portal","Transcript
Nomination letter
Personal Statement 
Evidence of meeting the English language requirement
Academic Reference or upload a reference letter
Passport bio page (if you are studying at Warwick for more than 6 months)",,"14,915 GBP","Classes in Chemistry, Physics, Engineering or Life Sciences

4 full modules for one academic year, 75% of the modules should be with your hosting department

https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/moduleinformation
","Fall: Sept. to Dec.
Spring: Jan. to Mar.
Summer: April to June

https://warwick.ac.uk/study/termdates","Comprehensive health insurance that includes medical expenses, hospitalization and emergency treatment

https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/insurance/","On-campus housing subject to availability

https://warwick.ac.uk/services/accommodation/students","Academic departments and study abroad terms:

https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/moduleinformation/part-year_availability_23-24.pdf","https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/universitypartners/
https://warwick.ac.uk/services/studentopportunity/studentmobility/studyatwarwick/applicationprocess/"
,The University of Edinburgh,Study abroad,UG,,Up to 15,One semester or full academic year,GPA ≥3.0,TOEFL 92                                                                  IELTS 6.5     ,"31-May for Semester 1,
31-Oct for Semester 2","Online application

https://www.ed.ac.uk/global/study-abroad/how-to-apply/apply-now","Provide a strong personal statement
Provide evidence of your written and spoken English skills if 
English is not your first language (English test report)
Provide a transcript
Course ranking form",,"11,250 GBP","120 credits for a full year of study,
or 60 credits for a single semester (3 courses per semester)

https://www.ed.ac.uk/global/study-abroad/course?page=a-z","Fall semester:
Mid Sept-late Dec.

https://www.ed.ac.uk/semester-dates/202324",Comprehensive medical insurance,"University housing
https://www.accom.ed.ac.uk/

Application deadline: August 16","Online info sessions available
https://www.ed.ac.uk/global/study-abroad/online-information-sessions","https://www.ed.ac.uk/global/study-abroad
https://www.ed.ac.uk/global/study-abroad/successful-applicants/pre-arrival-checklist"
,University of St Andrews,Study abroad,UG,,Up to 10,One semester or full academic year,"UG students who have completed at least one year of undergraduate studies;
Minimum GPA 3.2 out of 4.0","TOEFL 79
IELTS 6.5 (each component≥6.0)","Nomination deadline: April 1
Application: Feb. 15-April 15

Apr. 15 for 1st semester 
Oct. 30 for 2nd semester","Nomination followed by online application
Email nomination to studyabroad@st-andrews.ac.uk","Transcript
English language test report
Personal statement
Academic reference",,"10,010 GBP","50 to 70 credits per semester
https://www.st-andrews.ac.uk/subjects/modules/","Fall semester: early Sept.-mid Dec.
Spring semester: late Jan.-end of May

https://www.st-andrews.ac.uk/semester-dates/2023-2024/",Medical insurance,"University-managed accommodation
Application by June 30
Cost:
https://www.st-andrews.ac.uk/accommodation/ug/fees/",,https://www.st-andrews.ac.uk/study-abroad/at-st-andrews/
,University of Bristol,Study abroad,UG,,Up to 10,One full academic year,"UG students who have completed at least one year of UG study;
GPA ≥3.0",TOEFL 90                                                                      IELTS 6.5 (with each component no less than 6.0),"Nomination deadline: May 19
Application deadline: May 28",Nomination followed by online application,"Online application
Signed application form
Transcript
English language test report
Passport bio page",,"9,750 GBP","50-60 credits per semester

Most units at Bristol are worth either 10 credits or 20 credits, so you will typically take three to six units per semester

Students can choose General Pathway (courses from across the university)
 or Subject Pathway (choose a host department and take the majority of classes there)

https://www.bristol.ac.uk/faculties/
https://www.bristol.ac.uk/centre-for-study-abroad/inbound/study-abroad-programmes-at-bristol/subjects-and-study-guides/","Fall semester: late Sept. - late Jan.
Spring semester: late Jan.- mid June

https://www.bristol.ac.uk/global-opportunities/at-bristol/life-in-bristol/academic-life/academic-dates/",Health and travel insurance,Eligible for UoB managed housing,"Students studying Chemistry must apply for a full academic year;
If students who wish to take units within Engineering are strongly advised to apply for a year-long placement",https://www.bristol.ac.uk/centre-for-study-abroad/inbound/study-abroad-programmes-at-bristol/
Australia,University of New South Wales,Study abroad,UG & PG,,Unlimited,"Standard or Tailored term, no exceeding one academic year","Minimum GPA 2.7
China: 70% UNSW WAM equivalent",TOEFL 90                                                                   IELTS 6.5,1-Apr,"Online application

https://unsw.openacademies.com/Interfaces/study-abroad-student-registration/","Transcript 
Passport bio page
Proof of English language Proficiency",,"9,990 AUD per standard term
13,320 AUD per tailored term","All academic fields
3 courses per term (18 credits)

https://www.handbook.unsw.edu.au/
https://timetable.unsw.edu.au/2023/subjectSearch.html
Biology
https://timetable.unsw.edu.au/2023/BIOSKENS.html
Chemistry
https://timetable.unsw.edu.au/2023/CHEMKENS.html
Physics
https://timetable.unsw.edu.au/2023/PHYSKENS.html
Computer Science
https://timetable.unsw.edu.au/2023/COMPKENS.html
Materials
https://timetable.unsw.edu.au/2023/MATSKENS.html
","Summer term: early Jan.-mid Feb.
Term 1: mid-Feb.-mid May
Term 2: early Jun.-late Aug.
Term 3: mid-Sept.-mid Dec.

https://www.student.unsw.edu.au/calendar","Overseas Student Health Cover and
Additional travel/health insurance",Provision of resources and information on housing,"tailored terms are available:

Tailored Term 1: Summer Term+Term 1, early June to mid May
Tailored Term 2: August Intensive+Term 3, mid Aug.-mid Dec",https://www.unsw.edu.au/study/international-students/study-abroad
,University of Queensland,Study abroad,UG & PG,,Unlimited,One or two semesters,Must have completed at least one year of tertiary education at Westlake and obtained a minimum grade of C,TOEFL 87                                                                  IELTS 6.5 (min of 6.0 in each sub-band),"Previous October 31 for Semester 1
March 31 the same year for Semester 2
","Nomination followed by online application

https://apply.uq.edu.au/","An up-to-date official academic transcript 
in English;
Proof of English language proficiency, 
if applicable, and
A photo copy of the ID page of your passport.",,"13,180 AUD","Any course/faculty
Four courses
https://my.uq.edu.au/programs-courses/","Semester 1: Feb–June
Semester 2: July–Nov.

https://www.uq.edu.au/events/calendar_view.php?category_id=16&year=2024&month=&day=01","Health, travel and personal insurance, including an approved Overseas Health Care policy","Will provide housing information, but will not provide housing

Can apply for on campus housing

Estimated as 2, 180–3, 040 AUD/Month

https://study.uq.edu.au/university-life/living-in-brisbane/cost-living",,https://study.uq.edu.au/admissions/study-abroad
,Monash University,Study abroad,UG & PG,,Up to 15,Maximum of two semesters,GPA ≥3.0,TOEFL 79                                                                   IELTS 6.5,1-May,"Home university account creation followed
by student application","
A study plan with 6 to 8 units listed;
Official academic transcript from current tertiary institution;
Proof of English language proficiency, if applicable;
A clear copy of your passport's personal information page.",,"13,200 AUD","18-24 Monash credit points per semester
(usually 3-4 units)

https://handbook.monash.edu/","Semester 1: Feb–June
Semester 2: July–Nov.

https://www.monash.edu/study-abroad/inbound/apply/key-dates",Overseas Student Health Cover,"Advice on housing options

Study Abroad students are guaranteed on-campus accommodation if they apply by the deadline

https://www.monash.edu/study/why-choose-monash/our-locations/life-in-melbourne/cost-of-living",,https://www.monash.edu/study-abroad/inbound
Canada`,Queen's University,Study abroad,UG,,Up to 20,"No less than one term and
no more than two terms
(Fall and/or Winter Terms)","Undergraduates who have completed at least two terms of university studies with a minimum GPA of 2.6 and no failing grades in the most recent year of study;
Letter of Permission from Westlake",TOEFL 95                                                                   IELTS 7                                                                 ,"Fall term:
April 1 for nomination
April 30 for application

Winter term:
Sept. 1 for nomination
Sept. 30 for application

",(Online) nomination followed by online application,"IELTS/TOEFL report
Letter of permission/nomination
Official transcript
Letter of reference (Engineering)
Course selection form (Engineering)",Waived,"29,263 CAD","Courses in Faculty of Arts and Science, and Faculty of Engineering and Applied Science;

https://www.queensu.ca/academic-calendar/course-search/

Up to 5 courses/min 12 and max 15 units per term

List of available courses to Westlake by May 15, course timetable by July 1.","Fall term: early Sept.-late Dec.
Winter term: early Jan.-late Apr.

https://www.queens.edu/registrar/wp-content/uploads/sites/14/2023/09/five-year-academic-calendar.pdf","Queen's University Health
Insurance Plan (Kingston)

Adequate health and travel insurance (BISC)","Provision of resources and information about local accommodations (Kingston)

Limited on campus housing: https://www.queensu.ca/residences/

Room and board is included (BISC)","Students have the option of studying abroad with Queen's at its Bader International Study Center (BISC) in the UK on the Upper Year Program (East Sussex)

Third party liability insurance coverage on the university","https://www.queensu.ca/ipo/incoming-exchange/why-queens
https://engineering.queensu.ca/Current-Students/exchange-programs/incoming/index.html"
Israel,Hebrew University of Jerusalem,Study abroad,UG & PG,,Up to 10,"No exceeding one
academic year","GPA ≥3.0;
UG students who have completed at least one year of UG study

",TOEFL 89 or equivalent IELTS (students on an English-taught degree program might be exempted),15-May,Online application,"Statement of purpose
Resume
Two recommendation letters by faculty
Passport-sized photo
Transcript
English proficiency test score
Study abroad approval form
Medical certificate (downloaded during application process)",120 USD,"8,450 USD","Pre-semester ""Encountering Jerusalem"" program+13 to 15 selected credits

University-wide courses
https://overseas.huji.ac.il/academics/course-catalog/undergraduate-course-catalog/
https://shnaton.huji.ac.il/yearbook.php","1st semester: mid Oct.- end of Jan.
2nd semester: mid Mar.- end of Jun.

https://overseas.huji.ac.il/welcome-to-the-hebrew-university-of-jerusalem/hebrew-university-students/academic-information/academic-calendar/undergraduate-academic-calendar/",Adequate health and accident insurance coverage,"Assistance in making housing
arrangement",Westlake students might be eligible for a scholarship targeting students from Greater China,"https://overseas.huji.ac.il/academics/undergraduate-programs/ugrad-usap/#table-popup
https://overseas.huji.ac.il/admissions/apply-now/apply-now-undergraduate/"
,,,,,,,,,,,,,,,,,,,
