Words,Definitions,Examples
avocation,an auxiliary activity,"Unlike many retired doctors, whom he says often have no life outside their profession, he always knew sailing would become his avocation."
axiom,a proposition that is not susceptible of proof or disproof,"The fundamental axiom of scientific thought is that there is not, never has been, and never will be, any disorder in nature."
badinage,frivolous banter,"It was preposterous to talk to her of serious things, and nothing but an airy badinage seemed possible in her company."
baleful,deadly or sinister,"“But he is dead,” put in Fanning, wondering at the baleful expression of hatred that had come into the man’s face."
banal,repeated too often; overfamiliar through overuse,Highly dramatic incidents are juxtaposed with comparatively banal ones; particular attention is given to tales of doomed love affairs.
bandy,discuss lightly,"Hillary Clinton’s name has been bandied about, but she’s made it clear she’s not interested."
bane,something causing misery or death,"Knee pain is the bane of many runners, sometimes causing them to give up altogether."
banter,light teasing repartee,Our easy banter had suddenly been replaced by strained and awkward interaction.
bate,moderate or restrain; lessen the force of,"“You called her ‘an interfering, disagreeable old woman’!” whispered Bertha with bated breath, glancing half fearfully at the door as she spoke."
bauble,cheap showy jewelry or ornament,But men were buying Valentine's baubles for their honeys long before the first Zales ever opened its doors in a suburban shopping mall.
beatific,resembling or befitting an angel or saint,"She dozed at last, her face serene and beatific."
beguile,influence by slyness,I can no longer remain silent in the presence of the schemers who seek to beguile you.
beleaguer,annoy persistently,"Rock concert ticket sales dropped sharply last year, sounding another sour note for the beleaguered music industry."
belie,be in contradiction with,"""It is a fine morning,"" he said, taken aback by my sudden movement, but affecting an indifference which the sparkle in his eye belied."
bemuse,cause to be confused emotionally,"They were marching in the middle of the street, chanting and singing and disrupting traffic while countless New Yorkers looked on, some bemused, others applauding."
bemused,perplexed by many conflicting situations or statements,"They were marching in the middle of the street, chanting and singing and disrupting traffic while countless New Yorkers looked on, some bemused, others applauding."
benighted,lacking enlightenment or knowledge or culture,I alone was magnificently and absurdly aware—everyone else was benightedly out of it.
bent,fixed in your purpose,"The business-oriented constituency of the Republican Party, Jacobs said, has been weakened by a faction bent on lowering taxes and cutting spending."
bequeath,"leave or give, especially by will after one's death","No matter how often she changed her will, she told me, that diamond pin was always bequeathed to me."
beseech,ask for or request earnestly,"Utterly distraught, he ran up and down the bank, hunting for his clothes, calling, crying out, imploring, beseeching help from somewhere."
besiege,"harass, as with questions or requests",He can’t trot down the street without being besieged by paparazzi.
bestow,present,He bestowed public buildings and river improvements in return for votes.
betoken,be a signal for or a symptom of,The haggard face and sombre eyes betokened considerable mental anguish.
betrothed,pledged to be married,"We are not betrothed'—her eyes filled with tears,—'he can never marry me; and he and my father have quarrelled."
bilious,irritable as if suffering from indigestion,"But his sleep had not refreshed him; he waked up bilious, irritable, ill-tempered, and looked with hatred at his room."
blanch,"turn pale, as if in fear","He is silent, as if struck dumb, his face showing blanched and bloodless, while she utters a shriek, half terrified, half in frenzied anger."
bland,lacking stimulating characteristics; uninteresting,"Many critics were less than enamored with the kind of “easy listening” Mr. Williams embodied, deriding his approach as bland and unchallenging."
blatant,without any attempt at concealment; completely obvious,"There was no blatant display of wealth, and every article of furniture bore signs of long though careful use."
blighted,affected by something that prevents growth or prosperity,"Hudec, whose career has been blighted by knee injuries and operations, won for the first time in more than four years."
bluster,"act in an arrogant, overly self-assured, or conceited manner","Slade, despite his swaggers and blustering, was at heart a coward."
boast,talk about oneself with excessive pride or self-regard,"Mr. Estes was also well connected politically, boasting that the president of the United States took his calls."
bolt,run away,"The blare of bugles was heard, and a few seconds afterwards Jackson, still facing the enemy, shouted: ""By Jupiter, they're bolting, sir."""
bouillon,a clear seasoned broth,"The meat soups are called broths, bouillon, or consommé, according to their richness."
brawn,the trait of possessing muscular strength,He believes Hollywood has often have had an over-reliance on physical brawn as the deciding factor for portraying a strong man.
brooch,a decorative pin,Upon her breast she wore a brooch of gold set with many precious stones.
brook,a natural stream of water smaller than a river,He walked across the little bridge over the brook and at once his mood changed.
bucolic,idyllically rustic,"Forty-four years ago, Bill Sievers moved into his neo-Colonial house in Douglaston, Queens, on bucolic Poplar Street, lined with stately trees and equally stately homes."
bullion,gold or silver in bars or ingots,"In times of economic turmoil, more people tend to invest in bullion gold."
bulwark,a protective structure of stone or concrete,"The cliffs are of imposing height, nearly three hundred feet: a formidable bulwark."
burgeon,grow and flourish,Brooklyn's burgeoning dining scene has even developed a following among Manhattan food lovers.
burnish,polish and make shiny,"Great cleanliness is enforced in all that belongs to a lighthouse, the reflectors and lenses being constantly burnished, polished, and cleansed."
buxom,healthily plump and vigorous,"Mrs. Connelly—a round, rosy, buxom Irishwoman, with a mellow voice, laughing eye, and artist-red hair—was very much taken with their plan."
cabal,a clique that seeks power usually through intrigue,"Supposedly, see, there's this global cabal of scientists conspiring to bring about socialist one-world government."
cadaverous,very thin especially from disease or hunger or cold,"He looked gaunt and cadaverous, and much of his old reckless joyousness had left him, though he brightened up wonderfully on seeing an old friend."
cajole,"influence or urge by gentle urging, caressing, or flattering","Hamilton, however, was not to be cajoled into friendliness by superficial compliment."
callous,emotionally hardened,"Outwardly merry and good-humoured, he was by nature coldly fierce, calculating, callous."
cameo,engraving or carving in low relief on a stone,The trinket was a small round cameo cut out of mother-of-pearl and set in gold; it represented St. George and the dragon.
campaign,a race between candidates for elective office,At the same point in 2004 — as an incumbent facing re-election — Mr. Bush had taken in about $145.6 million for his campaign.
candid,openly straightforward and direct without secretiveness,The actor was candid about his own difficult childhood growing up with alcoholic parents.
canon,a collection of books accepted as holy scripture,"For me, all novels of any consequence are literary, and they take their place, high and low, in the canon of English literature."
cant,insincere talk about religion or morals,"It was the familiar cant of the man rich enough to affect disdain for money, and Wade was not impressed."
canto,a major division of a long poem,"Folengo’s next production was the Orlandino, an Italian poem of eight cantos, written in rhymed octaves."
capitulate,surrender under agreed conditions,"""Alas, no,"" said Bergfeld, mournfully, ""the day after the battle our brave soldiers were surrounded by overwhelming forces and obliged to capitulate."""
caprice,a sudden desire,"Nobody is really in charge, and decisions are made on whim and caprice.”"
capricious,determined by chance or impulse rather than by necessity,"Her admirers were capricious, returning to her at times, and then holding aloof again; and as for suitors, they entirely disappeared."
captious,tending to find and call attention to faults,"Miss Burton had been very irritable and captious in class, more so even than usual, and most of her anger was vented upon Gerry."
cardinal,one of a group of prominent bishops in the Sacred College,Each time he names cardinals he puts his stamp on Roman Catholicism's future by choosing men who share his views.
careen,pitching dangerously to one side,"I turned the steering wheel all the way to one side, and found myself careening backward in a violent arc."
carrion,the dead and rotting body of an animal; unfit for human food,"Habitually his diet is not carnivorous, but he will eat at times either carrion or living flesh."
categorical,not modified or restricted by reservations,"""European leaders were united, categorical and crystal clear: Gaddafi must go,"" British Prime Minister David Cameron said."
caucus,meet to select a candidate or promote a policy,"Representative Ron Paul of Texas isn’t campaigning in Florida, instead focusing on Maine, which will caucus in late February."
cavalier,showing a lack of concern or seriousness,"Some would have given Nicklaus a cavalier response: polite nod while thinking, “Yeah, whatever.”"
cede,relinquish possession or control over,Some militia chiefs say they will only cede command of their fighters once an organized military and security apparatus is in place.
chaff,material consisting of seed coverings and pieces of stem,"The wheat, being heavy, falls, while the chaff is blown away."
chagrin,strong feelings of embarrassment,But he was feeling deeply chagrined and mortified over his last escapade.
chamber,a natural or artificial enclosed space,"""Today,"" said the old man, ""you must push through with me into my most solitary chamber, that we may not be disturbed."""
chary,characterized by great caution,There was no independent verification of the figure; the authorities have been chary of releasing death tolls for fear of inflaming further violence.
chastise,scold or criticize severely,She remembers an upsetting incident when a headmistress chastised her for working too much.
checkered,marked by changeable fortune,Both restaurants have checkered histories with the health department; they were temporarily shut down for sanitary violations that included evidence of rodents.
chide,scold or reprimand severely or angrily,"He chided reporters as having “stalked” family members, demanding that his relatives be left alone."
choleric,characterized by anger,"Jonathan, choleric with indignation, stood by his desk, clenching his hands."
circumspect,careful to consider potential consequences and avoid risk,Obama administration officials argue that new regulations are forcing insurers to be more circumspect about raising rates.
circumstances,one's overall condition in life,The circumstances leading up to the shootings was not immediately available.
circumvent,"avoid or try to avoid fulfilling, answering, or performing",Mr. Bloomberg said he would take several steps to circumvent obstacles to his proposals posed by city labor unions.
cite,make reference to,"The Federal Reserve has pledged low interest rates until late 2014, citing in part the weakness of the job market."
clad,wearing or provided with clothing,"A few of the villagers came behind, clad in mourning robes, and bearing lighted tapers."
clandestine,conducted with or marked by hidden aims or methods,"For Jordan, this is a clandestine relationship it would much prefer to have kept secret."
clarion,loud and clear,"“He has been the single, clarion voice for commuter rail in central Florida for 20 years,” said Mayor Ken Bradley of Winter Park."
cleave,"separate or cut with a tool, such as a sharp instrument","Instead someone shouts ""Go"" and he is bearing down on me and almost cleaves my shield in two with his first blow."
coast,the shore of a sea or ocean,Martello towers must be built within short distances all round the coast.
coax,influence or persuade by gentle and persistent urging,He used his most enticing manner and did his best to coax the little animal out again.
codicil,a supplement to a will,"The codicil to her will, which she had spoken of with so much composure, left three hundred pounds to Stella and me."
cogent,powerfully persuasive,"His thesis was too cogent, and appealed too powerfully to all classes of the Upper Canada community, to be anything but irresistible."
cognate,having the same ancestral language,"The synonyms are also given in the cognate dialects of Welsh, Armoric, Irish, Gaelic, and Manx, showing at one view the connection between them."
cohere,"cause to form a united, orderly, and consistent whole",Two antagonistic values may cohere in the same object.
cohort,a group of people having approximately the same age,"The current cohort of college students is, as many have pointed out, the first truly digital generation."
coiffure,the arrangement of the hair,"They sat down, and Saint-Clair noticed his friend's coiffure; a single rose was in her hair."
collation,assembling in proper numerical or logical sequence,"In the case of early printed books or manuscripts, which are often not paged, special knowledge is needed for their collation."
commiserate,feel or express sympathy or compassion,"We had spent countless hours together drinking wine and commiserating about child-rearing, long Wisconsin winters and interrupted sleep."
commission,a special group delegated to consider some matter,The developers are now seeking approval from the landmarks commission.
commit,"perform an act, usually with a negative connotation","In an unprecedented front page article in 2003 The Times reported that Mr.?Blair, a young reporter on its staff, had committed journalistic fraud."
compel,force somebody to do something,"But the flames grew too large, compelling firefighters to call off the rescue."
comport,behave in a certain manner,"Ironically, the one man on stage who did comport himself with dignity, John Huntsman, is now being dismissed as having not made an impact."
comprehensive,broad in scope,"The United States Army developed a comprehensive plan to address problematic race relations in the 1970s, recognizing that they were hampering military effectiveness."
conceit,an artistic device or effect,"An urban panorama is viewed from a high vantage point, a conceit used in topographic art to render vast perspectives."
concept,an abstract or general idea inferred from specific instances,"As a psychologist, I have always found the concept of speed dating fascinating."
concern,something that interests you because it is important,The scandal broke out in October after former chief executive Michael Woodford claimed he was fired for raising concerns about the company's accounting practices.
concomitant,an event or situation that happens at the same time,The conclusion must be drawn that every epidemic of bubonic plague is caused by the concomitant rat plague.
conduct,direct the course of; manage or control,Scientists have been conducting studies of individual genes for years.
confer,have a meeting in order to talk something over,Ms. Stewart said Mrs. Bachmann conferred with her family and a few aides after her disappointing showing on Tuesday evening.
confluence,a flowing together,"And indeed, before the 13th century, there was an extraordinary confluence of genius and innovation, particularly around Baghdad."
congeal,"solidify, thicken, or come together","Boil down the syrup to half its original quantity, but take care that it does not boil long enough to congeal or become thick."
conjugal,relating to the relationship between a wife and husband,They even had conjugal visits for prisoners — five hours in a private room every three months with your wife.
conjure,summon into action or bring into existence,"Vacation homes typically conjure up dreams of blue skies, pristine sand and crystalline waters."
connotation,an idea that is implied or suggested,"In Arabic, the word “bayt” translates literally as house, but its connotations resonate beyond rooms and walls, summoning longings gathered about family and home."
conscientious,characterized by extreme care and great effort,A conscientious hostess would be very much mortified if she served chicken out of its proper course.
consecrate,render holy by means of religious rites,"The building was consecrated as a Protestant Episcopal church in May, 1814."
conservatory,a schoolhouse with special facilities for fine arts,The young instrumental talent that is coming out of local music schools and conservatories is as amazingly good as you are going to find anywhere.
consider,deem to be,"At the moment, artemisinin-based therapies are considered the best treatment, but cost about $10 per dose - far too much for impoverished communities."
conspicuous,obvious to the eye or mind,Its bright scarlet fruits are conspicuous in late autumn.
constant,a quantity that does not vary,"In 1929, Hubble independently put forward and confirmed the same idea, and the parameter later became known as the Hubble constant."
constituency,the body of voters who elect a representative for their area,"Each posited that the blue-collar Democratic constituency rooted in the New Deal had grown increasingly conservative, alienated from “big government.”"
constitute,compose or represent,Oil and natural gas constituted almost 50 percent of Russian government revenue last year.
constrained,lacking spontaneity; not natural,"All his goodness, however, will be of a forced, constrained, artificial, and at bottom unreal character."
construe,make sense of; assign a meaning to,But nothing that was said Tuesday can be construed as good news.
contempt,lack of respect accompanied by a feeling of intense dislike,"And with his backhanded contempt for all things ordinary, Blake is making some of the catchiest, most difficult music in recent memory."
contend,compete for something,"But eight men, however bold and stout-hearted, could not long contend with an enemy at least four times their number."
contract,a binding agreement that is enforceable by law,"Contracts with utilities will be signed starting next month, he said."
contrive,make or work out a plan for; devise,"The wily Roc, never taken much by surprise, contrived to escape, but old Tributor and his men were all captured."
contrived,artificially formal,In lesser hands the story about a young man who discovers life among the dead could be impossibly cute and contrived.
contusion,an injury in which the skin is not broken,"My falling companion, being a much stouter man than myself did not fare so well, as his right shoulder received a severe contusion."
convalesce,get over an illness or shock,Patients convalescing from pneumonia were evacuated to England or given Base Duty.
convention,a large formal assembly,"Last year, the industry’s main trade convention, the Inside Self-Storage World Expo, organized workshops in Las Vegas focusing on lien laws and auction sales."
convince,make realize the truth or validity of something,But though he listened he was not convinced.
corpulent,excessively large,"Obesity is very common, but chiefly among the women, who while still quite young often become enormously corpulent."
countermand,cancel officially,"In the midst of executing this order, he got another order countermanding it, and proceeding directly from his direct superior."
court,an assembly to conduct judicial business,"When Brown pleaded not guilty to assaulting Rihanna, their violent past came out in court."
cower,crouch or curl up,The knaves lowered their weapons and shrank back cowering before him.
coy,showing marked and often playful evasiveness or reluctance,"It was funny watching such a solid person, based in faith and education, grow a trifle coy about the year of his birth."
cozen,cheat or trick,"Dicing-houses, where cheaters meet, and cozen young men out of their money."
crabbed,annoyed and irritable,"He grew crabbed and soured, his temper flashing out on small provocation."
craven,lacking even the rudiments of courage; abjectly fearful,Was it for them to follow the craven footsteps of a cowardly generation?
credence,the mental attitude that something is believable,"""Well-known brand names that promote new products receive more credence than newcomers that people don't know about."""
credible,appearing to merit belief or acceptance,"Mike Mullen, then chairman of the Joint Chiefs of Staff, has acknowledged receiving the memo but said he ignored it as not credible."
credo,any system of principles or beliefs,"She preferred to hang out with everyone but was best friends with no one, holding to the credo: “You should be nice to people.”"
crevice,a long narrow opening,"The disruptive power of tree roots, growing in the crevices of rocks, is well known."
crew,the people who work on a vehicle,"Several pilots and crew members would have to escape at once, while safety divers watched, ready to rescue anyone who became stuck."
crone,"an ugly, evil-looking old woman","The aged crone wrinkled her forehead and lifted her grizzled eyebrows, still without looking at him."
cryptic,of an obscure nature,"The authorities, beyond some cryptic language about the death being sudden but not suspicious, have released no details."
cupidity,extreme greed for material wealth,"Well educated, but very corrupt at heart, he found in his insatiable cupidity many ways of gaining money."
dais,a platform raised above the surrounding level,The throne was elevated on a dais of silver steps.
dapper,marked by up-to-dateness in dress and manners,"Thoroughly dapper, he took off his black-and-white pinstriped suit jacket — with its pocket-square flair — and weaved in and out among them, his voice ever rising."
dearth,an insufficient quantity or number,A continuing dearth of snow in many U.S. spots usually buried by this time of year has turned life upside down.
debacle,a sound defeat,"The Broncos are coming off their worst season in franchise history, a 4-12 debacle that included issues on and off the field."
debase,corrupt morally or by intemperance or sensuality,"Long oppression had not, on the whole, either blunted their intellects or debased their morals."
decadence,the state of being degenerate in mental or moral qualities,"But there are people who really do not want to import what they regard as Western decadence, especially public drunkenness."
declivity,a downward slope or bend,"In this frightful condition, the hunter grappled with the raging beast, and, struggling for life, they rolled together down a steep declivity."
decorum,propriety in manners and conduct,"Wishing to observe the rules of decorum she invited him to stay for supper, though absolutely nothing had been prepared for a guest."
decree,a legally binding command or decision,"While the decree takes effect immediately, it requires Parliament’s approval within 60 days to remain in force."
deduce,reason from the general to the particular,They then used models of global wind circulation to deduce which dust sources have become stronger and which weaker.
deference,a courteous expression of esteem or regard,"Other rules, as indicated in Mr. Collins' book, concerned deportment, and demanded constant deference to superiors."
defray,bear the expenses of,The legislation also calls for $1.6 billion in spending cuts to help defray the disaster costs.
deign,do something that one considers to be below one's dignity,To Mr. Gompers' courteous letter Czar Gary did not deign to reply.
delicacy,the quality of being exquisitely fine in appearance,"This refinement appears in his works, which are full of artistic grace and dainty delicacy."
delve,"turn up, loosen, or remove earth",So she did what any reporter would do: she delved into the scientific literature and talked to investigators.
demonstrable,capable of being proved,"The linkage between deposits and trade is definite, causal, positive, statistically demonstrable."
demoralize,lower someone's spirits; make downhearted,"The storm clobbered many communities still recovering from the flooding two months ago caused by Hurricane Irene, leaving weary homeowners exhausted and demoralized."
denouement,the outcome of a complex sequence of events,"Suppose the truly apocalyptic denouement happens -- no deal is reached, and taxes rise for everyone."
dense,permitting little if any light to pass through,Dense black smoke rose in the distance as demonstrators burned tires in Shiite villages.
depose,force to leave an office,"Late Wednesday, Mr. Touré, the deposed president, spoke out from hiding for the first time."
deprave,corrupt morally or by intemperance or sensuality,"The people who make up this typical Gorky offering are drunkards, thieves, depraved creatures of every kind."
depredation,a destructive action,"Wild elephants abound and commit many depredations, entering villages in large herds, and consuming everything suitable to their tastes."
derelict,in deplorable condition,Others are clustered under a tin awning by a derelict railway station or in similarly run-down school buildings.
derived,formed or developed from something else; not original,"Modern kale, cabbage, broccoli, cauliflower, Brussels sprouts, and kohlrabi are all members of the same species, derived from a single prehistoric plant variety."
descry,catch sight of,"Looking off seaward, I could descry no sails."
despair,a state in which all hope is lost or absent,"There were wounded love, and wounded pride, and despair, and coming madness, all in that piteous cry."
despoil,destroy and strip of its possession,"Wherever his lordship's army went, plantations were despoiled, and private houses plundered."
device,an instrumentality invented for a particular purpose,You’ve probably also noticed that the telephone and computer are no longer the only devices on your employees’ desks.
devolve,grow worse,"As the rhetoric heated up inside, the violence outside devolved into chaos."
diadem,an ornamental jeweled headdress signifying sovereignty,"I dethrone monarchs and the people rejoicing crown me instead, showering diadems upon my head."
dictum,an authoritative declaration,"In other words, they seemed fully subscribed to Andy Warhol’s dictum that business art is the best art."
didactic,"instructive, especially excessively",Let us have a book so full of good illustrations that didactic instruction shall not be needed.
diffidence,lack of self-assurance,His grave diffidence and continued hesitation in offering an opinion confirmed me in my own.
diffident,lacking self-confidence,"Shyly diffident in the presence of strangers, her head was lowered."
dilettante,showing frivolous or superficial interest; amateurish,They dabbled in politics and art in the same dilettante fashion.
dingy,thickly covered with ingrained dirt or soot,"Though composed amid the unromantic surroundings of a dingy, dusty, and neglected back room, the speech has become a memorable document."
dint,force or effort,If only certain puzzles could be solved by dint of sheer hard thinking!
disaffected,discontented as toward authority,"The financial crisis, largely caused by banker incompetence, has created legions of disaffected customers."
disapprobation,an expression of strong disapproval,Mr Ruthven shook his head and declared that he regarded the conduct of her persecutors with grave moral disapprobation.
disconcert,cause to lose one's composure,"Perplexed and disconcerted, I found no words to answer such an amazing sally."
disconsolate,sad beyond comforting; incapable of being soothed,Was there a bereaved mother or disconsolate sister weeping over their dead?
